Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
Percy Jackson,['Rick Riordan'],ePUB,73.99,73.99,0141352019,2013-07-04,Penguin Random House Children's UK,1024
Empire of the Deep,['Ben Wilson'],ePUB,11.99,11.99,0297864092,2013-07-25,Orion,544
When we were Warriors,['Emma Carroll'],ePUB,10.99,9.99,0571350410,2019-02-05,Faber & Faber,256
Book not found for ISBN 9780307275103,,,,,,,,
The Man Who Smiled,"['Henning Mankell', 'Laurie Thompson']",ePUB,15.99,15.99,140701773X,2008-09-04,Random House,448
The Limpet Syndrome,['Tony Moyle'],ePUB,3.29,1.8,1326978470,2017-10-10,Lulu.com,0
Easy Spanish Phrase Book New Edition,['Garcia Loaeza'],Paperback,12.99,12.95,0486499057,2013-03-21,Dover Publications Inc.,80
Old Filth,['Jane Gardam'],ePUB,11.99,11.99,1405525487,2013-01-17,"Little, Brown Book Group",272
Total Control,['David Baldacci'],Paperback,41.5,41.5,153871180X,2019-01-29,GRAND CENTRAL PUBL            ,656
Moon Over Soho,['Ben Aaronovitch'],ePUB,11.99,11.99,0575097639,2011-04-21,Orion,384
Book not found for ISBN 9780307450227,,,,,,,,
Lie Down With Lions,['Ken Follett'],ePUB,13.95,10.4,0330467573,2008-09-04,,0
The God Chasers,['Tommy Tenney'],Paperback,36.84,36.84,0768422876,2005-02-01,DESTINY IMAGE INC             ,300
Beside a Narrow Stream,['Faith Martin'],E-Book,0,0,1306022118,2008-01-01,Robert Hale & Company,224
The Fearless Organization,['Amy C. Edmondson'],ePUB,38.49,38.49,1119477263,2018-11-14,Wiley Professional Development (P&T),0
Shadow's Edge,['Brent Weeks'],ePUB,12.99,12.99,074811257X,2009-06-11,"Little, Brown Book Group",656
"Robots, Robots Everywhere","['Sue Fliess', 'Bob Staake']",ePUB,8.79,7.99,0375981365,2013-08-06,Random House Children's Books,
The Doghouse,"['Jan Thomas', 'Jan Thomas']",ePUB,5.99,5.99,1328686000,2018-06-19,HarperCollins,
Stakeknife,"['Greg Harkin', 'Martin Ingram']",Paperback,36.95,36.95,0862788439,2004-02-18,O'Brien Press Ltd,280
A Good Man in Africa,['William Boyd'],ePUB,15.99,15.99,0241970407,2013-12-19,Penguin Books Ltd,352
A Little Hatred,['Joe Abercrombie'],ePUB,12.99,12.99,0575095903,2019-09-17,Orion,480
The Hidden Oracle (The Trials of Apollo Book 1),['Rick Riordan'],ePUB,9.99,9.99,0141363940,2016-05-03,Penguin Random House Children's UK,528
The Art of Extreme Self-Care,['Cheryl Richardson'],ePUB,17.59,14.99,1401924824,2009-01-01,Hay House,113
Blood Line,['Lynda La Plante'],ePUB,16.99,16.99,0857201824,2011-06-23,Simon & Schuster UK,496
Hard-Boiled Wonderland and the End of the World,['Haruki Murakami'],ePUB,15.99,15.99,1448103681,2011-10-10,Random House,416
Never Look Back,['Lesley Pearse'],ePUB,15.99,15.99,0141910674,2006-05-04,Penguin Books Ltd,752
Summer Magic,['T.M. Cromer'],ePUB,5.99,5.99,0997532262,2018-04-17,Fae Press,
An Abundance of Katherines,['John Green'],ePUB,9.99,9.99,0141346108,2012-06-28,Penguin Random House Children's UK,272
Night Probe!,['Clive Cussler'],Paperback,22.99,22.4,0751505048,1993-10-11,Little Brown,384
Over a Hot Stove,['Flo Wadlow'],ePUB,8.99,8.99,0749015764,2013-09-26,Allison & Busby,0
Night,"['Elie Wiesel', 'Marion Wiesel']",ePUB,14.99,14.99,071819781X,2012-05-03,Penguin Books Ltd,144
Save the Cat,['Blake Snyder'],E-Book,0,0,1282466089,2013-05-15,Michael Wiese Productions,195
Deadpool Vol. 1,"['Daniel Way', 'Paco Medina']",ePUB,13.19,10.99,0785170405,2014-06-25,Marvel Entertainment,
No Escape,['Mary Burton'],ePUB,15.99,15.99,1405909749,2013-11-07,Penguin Books Ltd,432
Who Is Barack Obama?,"['Roberta Edwards', 'Who HQ', ""John O'Brien""]",ePUB,8.79,7.99,110117112X,2009-12-24,Penguin Young Readers Group,112
It's Now or Never,['Carole Matthews'],ePUB,12.99,12.99,1405523646,2013-01-01,"Little, Brown Book Group",416
Book not found for ISBN 9780230760967,,,,,,,,
Sandringham Days,['John Matson'],ePUB,18.49,15.99,0752483110,2012-02-29,The History Press,192
The Five People You Meet In Heaven,['Mitch Albom'],ePUB,11.99,11.99,0748112634,2009-06-11,"Little, Brown Book Group",240
Cold Granite,['Stuart MacBride'],ePUB,3.99,3.99,0007298978,2009-02-02,HarperCollins Publishers,480
Cibola Burn,['James S. A. Corey'],ePUB,11.99,11.99,0356504182,2014-06-05,"Little, Brown Book Group",592
The Gathering Dark,['James Oswald'],ePUB,14.99,14.99,1405925329,2018-01-25,Penguin Books Ltd,448
Whispers Under Ground,['Ben Aaronovitch'],ePUB,12.99,12.99,0575097671,2012-06-21,Orion,384
Blue Smoke,['Nora Roberts'],ePUB,12.99,12.99,0748110828,2008-11-06,"Little, Brown Book Group",448
Hope(less),['Melissa Haag'],ePUB,0,0,0988852314,2015-06-17,Melissa Haag,
The Silkworm,['Robert Galbraith'],ePUB,12.99,12.99,1405514973,2014-06-19,"Little, Brown Book Group",464
Legend,['David Gemmell'],ePUB,11.99,11.99,1405511982,2011-12-01,"Little, Brown Book Group",432
"Oaths (Dragon Blood, Book 8)",['Lindsay Buroker'],ePUB,6.87,6.87,137039375X,2018-04-24,Lindsay Buroker,
The Cut Out Girl,['Bart van Es'],ePUB,15.99,15.99,0241978718,2018-08-02,Penguin Books Ltd,256
My Family and Other Animals,['Gerald Durrell'],ePUB,14.99,14.99,0241982413,2017-04-20,Penguin Books Ltd,320
Jane Eyre,"['Charlotte Bronte', 'Stevie Davies']",ePUB,9.99,9.99,0141907525,2006-06-29,Penguin Books Ltd,624
Last Stories,['William Trevor'],ePUB,15.99,15.99,0241337798,2018-05-24,Penguin Books Ltd,240
Aprons and Silver Spoons,['Mollie Moran'],ePUB,14.99,14.99,0718197186,2013-03-14,Penguin Books Ltd,320
Moonlight and Ashes,['Rosie Goodwin'],ePUB,12.99,12.99,0755382641,2010-12-23,Headline,366
The Glossy Years,['Nicholas Coleridge'],ePUB,15.99,15.99,0241983525,2019-09-26,Penguin Books Ltd,400
Manhattan Transfer,"['John Dos Passos', 'Jay McInerney']",ePUB,15.99,15.99,0141910119,2000-08-31,Penguin Books Ltd,368
Baking,['Dorie Greenspan'],ePUB,9.99,9.99,0547348061,2013-07-23,HarperCollins,
Defending Your Marriage - The Reality of Spiritual Battle,"['Tim Muehlhoff', 'Clinton E. Arnold']",Paperback,31.64,27.5,083084550X,2018-11-13,InterVarsity Press,176
Echo Burning,['Lee Child'],ePUB,16.99,16.99,1407070266,2008-09-22,Transworld,576
Lazybones,['Mark Billingham'],ePUB,12.99,12.99,0748109439,2008-09-04,"Little, Brown Book Group",448
Whiteout,['Ken Follett'],ePUB,13.95,10.4,0330467891,2008-09-04,,0
In The Dark,['Cara Hunter'],ePUB,15.99,15.99,0241283221,2018-07-12,Penguin Books Ltd,480
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did),['Philippa Perry'],ePUB,16.99,16.99,0241251001,2019-03-07,Penguin Books Ltd,288
The Last Command,['Timothy Zahn'],ePUB,13.46,11.1,0307796205,2011-06-28,Random House Worlds,
The Lean Startup,['Eric Ries'],ePUB,18.99,18.99,0670921629,2011-10-06,Penguin Books Ltd,336
Ballet Shoes,['Noel Streatfeild'],ePUB,9.99,9.99,0141938374,2006-08-31,Penguin Random House Children's UK,240
The Other Wife,['Michael Robotham'],ePUB,11.99,11.99,0751562831,2018-06-26,"Little, Brown Book Group",400
The Nightingales are Drunk,['Hafez'],ePUB,4.99,4.99,0141980273,2015-02-26,Penguin Books Ltd,96
End Games,['Michael Dibdin'],ePUB,13.19,11.99,0571246044,2008-09-04,Faber & Faber,480
British Battles of the Napoleonic Wars 1793-1806,"['Martin Mace', 'John Grehan']",E-Book,0,0,132200692X,2013-01-01,Pen and Sword Military,234
The Singles Game,['Lauren Weisberger'],Paperback,22.99,19.75,0007569246,2016-12-19,HarperCollins Publishers,432
Reasons to be Cheerful,['Nina Stibbe'],ePUB,15.99,15.99,0241974992,2019-03-28,Penguin Books Ltd,320
Wiggly the Worm,['Arnie Lightning'],ePUB,1.42,1.42,1311502459,2015-06-03,Hey Sup Bye Publishing,
Defending the Guilty,['Alex McBride'],ePUB,15.99,15.99,0141951400,2010-04-01,Penguin Books Ltd,288
A Handful of Dust,['Evelyn Waugh'],ePUB,15.99,15.99,0141886374,2012-05-31,Penguin Books Ltd,288
Red Sniper on the Eastern Front,['Joseph Pilyushin'],E-Book,0,0,1283589230,2010-03-01,PEN & SWORD BOOKS,296
Stormbird,['Conn Iggulden'],ePUB,15.99,15.99,0718196333,2013-10-10,Penguin Books Ltd,512
AI Superpowers,['Kai-Fu Lee'],Hardcover,46.25,46.25,132854639X,2018-09-25,HarperCollins Publishers,272
The Secret Diaries of Miss Anne Lister - Vol.2,"['Anne Lister', 'Helena Whitbread']",ePUB,9.99,9.99,034900689X,2015-02-24,"Little, Brown Book Group",224
Liberty Bar,"['Georges Simenon', 'David Watson']",ePUB,15.99,15.99,0141979518,2015-03-05,Penguin Books Ltd,112
Cannery Row,"['Susan Shillinglaw', 'John Steinbeck']",ePUB,15.99,15.99,0141923482,2000-09-07,Penguin Books Ltd,176
The Introvert Advantage,['Marti Olsen Laney Psy.D.'],ePUB,23.99,23.99,0761148353,2002-02-01,Workman Publishing Company,336
Villages,['John Updike'],ePUB,15.99,15.99,0141923083,2006-02-23,Penguin Books Ltd,336
Gilead,['Marilynne Robinson'],ePUB,11.99,11.99,0748113509,2009-05-07,"Little, Brown Book Group",288
Disobedience,['Naomi Alderman'],ePUB,15.99,15.99,0141906073,2007-04-05,Penguin Books Ltd,288
I Am Legend,['Richard Matheson'],ePUB,9.99,9.99,0575119578,2011-09-01,Orion,176
The Missing,['Chris Mooney'],ePUB,15.99,15.99,0141902256,2007-05-03,Penguin Books Ltd,416
Red Sky at Sunrise,['Laurie Lee'],ePUB,18.99,18.99,0141927372,2000-01-01,Penguin Books Ltd,544
Flesh Wounds,['Chris Brookmyre'],ePUB,12.99,12.99,140551597X,2013-08-01,"Little, Brown Book Group",416
How to Win Friends and Influence People,['Dale Carnegie'],ePUB,14.99,14.99,1409005216,2010-09-30,Ebury Publishing,304
Shepherds Abiding,['Jan Karon'],ePUB,20.57,16.99,1101200405,2004-09-28,Penguin Publishing Group,304
The Useful Book,"['David Bowers', 'Sharon Bowers']",ePUB,23.99,23.99,0761187146,2016-06-14,Workman Publishing Company,448
James and the Giant Peach,"['Roald Dahl', 'Quentin Blake']",ePUB,9.99,9.99,0141929871,2007-09-06,Penguin Random House Children's UK,160
Oryx And Crake,['Margaret Atwood'],ePUB,12.99,12.99,0748113355,2009-09-03,"Little, Brown Book Group",448
Book not found for ISBN 9780307414298,,,,,,,,
The City & The City,['China Miéville'],ePUB,13.95,10.5,0330520105,2010-01-01,,500
Where the Crawdads Sing,['Delia Owens'],Hardcover,48.75,48.75,0735219095,2018-08-14,G P PUTNAM SONS               ,384
Narrow Is the Way,['Faith Martin'],E-Book,0,0,1306020980,2006-01-01,Robert Hale & Company,224
Heaven,['Randy Alcorn'],Hardcover,50.99,45.9,0842379428,2004-10-01,Tyndale House Publishers,560
The Myth of Sisyphus,"['Albert Camus', ""Justin O'Brien"", 'James Wood']",ePUB,15.99,15.99,0141914173,2013-10-31,Penguin Books Ltd,208
American Gods,['Neil Gaiman'],ePUB,12.99,12.99,0755379926,2011-11-10,Headline,521
Trust Me,['Lesley Pearse'],ePUB,15.99,15.99,0141910682,2006-06-29,Penguin Books Ltd,720
The Chicken Health Handbook,['Gail Damerow'],Paperback,45,43.25,161212013X,2015-12-29,Workman,496
The Ideal Team Player,['Patrick M. Lencioni'],ePUB,29.99,29.99,1119209617,2016-05-13,Wiley,240
Address Unknown,['Kathrine Kressmann Taylor'],ePUB,14.29,5.35,0285640453,2011-04-01,Profile,64
Broken Homes,['Ben Aaronovitch'],ePUB,12.99,12.99,0575132493,2013-07-25,Orion,320
Where the Bodies Are Buried,['Christopher Brookmyre'],ePUB,16.5,14.5,0802194443,2012-07-03,Grove Atlantic,304
Chernobyl,['Serhii Plokhy'],ePUB,15.99,15.99,0241349036,2018-05-15,Penguin Books Ltd,256
The Ladykiller,['Martina Cole'],ePUB,11.99,11.99,0755350715,2009-12-10,Headline,300
Vince and Joy,['Lisa Jewell'],ePUB,15.99,15.99,0141040033,2005-08-04,Penguin Books Ltd,512
Marius' Mules XII,['S.J.A. Turney'],ePUB,7.56,7.56,0463655362,2019-07-04,S.J.A. Turney,
5 People Who Died During Sex,['Karl Shaw'],ePUB,8.55,7.99,0767922964,2007-02-13,Crown,
The Burning,['Jane Casey'],ePUB,12.99,12.99,1409005011,2010-11-11,Ebury Publishing,496
The Secret,['Julie Garwood'],ePUB,15.42,12.99,110153351X,2011-07-05,Penguin Publishing Group,1
Bash Command Line Pro Tips,['Jason Cannon'],ePUB,0,0,1310518998,2015-05-16,Jason Cannon,
Book not found for ISBN 9780241198155,,,,,,,,
Crossfire,['Malorie Blackman'],ePUB,14.99,14.99,0241388457,2019-08-08,Penguin Random House Children's UK,496
Threat Vector,"['Tom Clancy', 'Mark Greaney']",ePUB,15.99,15.99,0718198115,2012-12-06,Penguin Books Ltd,720
Robin Hood,['Paul D Storrie'],E-Book,0,0,1281282308,2007-01-01,Lerner Publishing Group,48
The Black Prism,['Brent Weeks'],ePUB,11.99,11.99,0748116974,2010-08-26,"Little, Brown Book Group",480
Death in the Spotlight,['Robin Stevens'],ePUB,9.99,9.99,0141373830,2018-10-04,Penguin Random House Children's UK,352
Out of Africa,['Isak Dinesen'],ePUB,14.99,14.99,0141913878,2001-09-27,Penguin Books Ltd,336
The Private Lives of the Tudors,['Sergei Lebedev'],ePUB,27.49,21.99,0802189806,2020-02-26,Grove Atlantic,
Rebecca,"['Daphne Du Maurier', 'Sally Beauman']",ePUB,11.99,11.99,1405513462,2012-02-09,"Little, Brown Book Group",448
The Hairy Dieters,['Hairy Bikers'],ePUB,19.99,19.99,0297609327,2016-05-19,Orion,192
Gooney Bird Greene,"['Lois Lowry', 'Middy Thomas']",ePUB,14.99,14.99,054748898X,2010-04-01,HarperCollins,96
Inversions,['Iain M. Banks'],ePUB,12.99,12.99,074811002X,2008-09-04,"Little, Brown Book Group",416
Book not found for ISBN 9780230760516,,,,,,,,
Proven Guilty,['Jim Butcher'],ePUB,12.99,12.99,0748116583,2010-03-04,"Little, Brown Book Group",528
The Penguin Book of the Contemporary British Short Story,['Philip Hensher'],ePUB,15.99,15.99,0241307163,2018-10-04,Penguin Books Ltd,432
The Return,['Victoria Hislop'],ePUB,12.99,12.99,0755352459,2008-02-10,Headline,300
War And Peace,"['Leo Tolstoy', 'Anthony Briggs', 'Orlando Figes']",ePUB,14.99,14.99,0141959800,2009-02-26,Penguin Books Ltd,1472
Thornbear,['Michael G. Manning'],ePUB,5,5,1311220518,2015-05-09,Michael G. Manning,
Falling For You,['Leeanna Morgan'],ePUB,9.25,9.25,0994135556,2018-10-16,Rogan Press,
Steal Like an Artist,['Austin Kleon'],ePUB,19.99,19.99,0761171258,2012-02-28,Workman Publishing Company,160
One Of Us Is Lying,['Karen M. McManus'],ePUB,12.99,12.99,0141375647,2017-06-01,Penguin Random House Children's UK,240
Business Model Generation,['Yves Pigneur Alexander Osterwalder'],ePUB,45.09,45.09,1118656407,2013-02-01,Wiley Professional Development (P&T),288
Tennessee Night (The 8th Jack Nightingale Novel),['Stephen Leather'],ePUB,8.12,8.12,0463273974,2018-07-03,Stephen Leather,
How to Change Your Mind,['Michael Pollan'],ePUB,15.99,15.99,0141985143,2018-05-17,Penguin Books Ltd,400
The Personal MBA,['Josh Kaufman'],ePUB,18.99,18.99,0141971096,2011-02-03,Penguin Books Ltd,464
Eragon: Book One,['Christopher Paolini'],ePUB,12.99,12.99,1407047205,2009-03-08,RHCB,528
Hooked,"['Nir Eyal', 'Ryan Hoover']",ePUB,36.75,36.75,0698190661,2014-11-04,,256
You're Not Safe,['Mary Burton'],ePUB,15.99,15.99,1405909757,2014-08-14,Penguin Books Ltd,432
Mind Over Medicine,[],ePUB,19.94,16.05,1401940005,2013-05-07,Hay House,
The Invisible Bridge,['Julie Orringer'],ePUB,15.99,15.99,0241957141,2011-03-29,Penguin Books Ltd,624
Hothouse Flower,['Lucinda Riley'],ePUB,15.99,15.99,0141961392,2010-11-25,Penguin Books Ltd,592
"First Love, Last Love",['Judith Saxton'],Hardcover,0,0,0312087799,1993-03-01,,
Orange Is the New Black,['Piper Kerman'],ePUB,11.99,11.99,0349139873,2013-07-11,"Little, Brown Book Group",352
We are the Weather,['Jonathan Safran Foer'],ePUB,15.99,15.99,0241984920,2019-09-17,Penguin Books Ltd,352
In a Dry Season,['Peter Robinson'],ePUB,12.35,8.95,0330514695,2009-08-21,,0
Innocent Next Door,['Shelley Munro'],ePUB,5.99,5.99,0473330342,2018-10-15,Munro Press,
"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","['Kerry Patterson', 'Joseph Grenny', 'Ron McMillan', 'Al Switzler']",ePUB,26.41,21.99,0071772200,2011-12-13,McGraw Hill LLC,288
The Art of War,"['Sun Tzu', 'Tom Butler-Bowdon']",ePUB,16.99,16.99,0857081020,2016-05-16,Wiley,220
Past Reason Hated,['Peter Robinson'],ePUB,12.35,8.95,0330469401,2008-09-04,,0
Book not found for ISBN 9780230767270,,,,,,,,
A Mind For Numbers,['Barbara Oakley PhD'],ePUB,5.99,5.99,1101621613,2014-07-31,Penguin Publishing Group,272
Book not found for ISBN 9780307388131,,,,,,,,
Seven Steps from Snowdon to Everest,['Mark Horrell'],ePUB,7.99,7.99,0993413013,2020-02-24,Mountain Footsteps Press,
2001,['Arthur C. Clarke'],ePUB,11.99,11.99,0748120785,2010-06-03,"Little, Brown Book Group",288
Freakonomics,"['Steven D. Levitt', 'Stephen J. Dubner']",ePUB,15.99,15.99,0141928735,2006-10-05,Penguin Books Ltd,336
How To Be Right,"[""James O'Brien""]",ePUB,18.99,18.99,0753553112,2018-11-01,Ebury Publishing,240
Blue Above the Chimneys,['Christine Marion Fraser'],ePUB,14.99,14.99,0141972513,2012-01-19,Penguin Books Ltd,256
Seven Principles for Making Marriage Work,"['John Phd Gottman', 'Nan Silver']",E-Book,0,0,1101902914,2015-01-01,Potter/Tenspeed/Harmony,
The Challenging Heights,['Max Hennessy'],ePUB,8.79,7.99,0755128036,2015-10-01,House of Stratus,284
The Greek Myths,['Robert Graves'],ePUB,18.99,18.99,024198338X,2017-09-28,Penguin Books Ltd,784
Book not found for ISBN 9780307382092,,,,,,,,
Girls of Paper and Fire,"['Natasha Ngan', 'James Patterson']",ePUB,18.99,18.99,031656138X,2018-10-23,"Little, Brown and Company",336
Wicked Wings,['Keri Arthur'],ePUB,6.99,6.99,0648324699,2019-10-08,KA Publishing PTY LTD,
My Uncle Oswald,['Roald Dahl'],ePUB,15.99,15.99,0141941995,2002-03-28,Penguin Books Ltd,208
Stasi Vice,['Max Hertzberg'],ePUB,4.99,4.99,0993324789,2018-10-17,OV Press,
Guilt,"['Jussi Adler-Olsen', 'Martin Aitken']",ePUB,14.99,14.99,1405909846,2014-02-27,Penguin Books Ltd,464
Book not found for ISBN 9780307267450,,,,,,,,
Devil's Guard,['George R. Elford'],ePUB,14.66,11.99,0307483770,2008-12-18,Random House Publishing Group,
Dead Men's Bones,['James Oswald'],ePUB,14.99,14.99,1405917105,2014-07-03,Penguin Books Ltd,484
The New Kid,['Maureen Straka'],ePUB,0,0,1370687133,2018-04-21,Maureen Straka,
How Generations Remember,['Monika Palmberger'],ePUB,0,0,1137450630,2022-03-25,Palgrave Macmillan UK,
World War One,['Norman Stone'],ePUB,14.99,14.99,0141040955,2008-03-27,Penguin Books Ltd,240
Allen Carr's Easyweigh to Lose Weight,['Allen Carr'],ePUB,14.99,14.99,0141927410,2000-01-01,Penguin Books Ltd,224
Moon Tiger,"['Penelope Lively', 'Anthony Thwaite']",ePUB,15.99,15.99,014190271X,2006-04-27,Penguin Books Ltd,224
Moab Is My Washpot,['Stephen Fry'],ePUB,15.99,15.99,1409007014,2011-02-22,Random House,448
Poseidon's Arrow,"['Clive Cussler', 'Dirk Cussler']",ePUB,15.99,15.99,1405909870,2012-11-20,Penguin Books Ltd,528
The Murder of Patience Brooke,['J.C. Briggs'],ePUB,16.49,4.75,075095759X,2014-08-04,The History Press,128
Shadow Tyrants,"['Clive Cussler', 'Boyd Morrison']",ePUB,14.99,14.99,1405937114,2018-09-20,Penguin Books Ltd,480
On the Road,"['Jack Kerouac', 'Ann Charters']",ePUB,15.99,15.99,0141912561,2011-07-21,Penguin Books Ltd,320
Marie Antoinette,['Lady Antonia Fraser'],ePUB,17.99,17.99,0297857940,2010-06-24,Orion,640
The Evidence Against You,['Gillian McAllister'],ePUB,15.99,15.99,1405934662,2019-04-18,Penguin Books Ltd,400
Book not found for ISBN 9780230761353,,,,,,,,
The Book of Questions,['Gregory Stock'],ePUB,19.99,19.99,0761178686,2013-09-10,Workman Publishing Company,250
Ladder of Years,['Anne Tyler'],ePUB,15.99,15.99,1407016059,2010-02-23,Random House,336
The Somerset Tsunami,['Emma Carroll'],ePUB,10.99,9.99,057133282X,2019-10-01,Faber & Faber,304
Cover Your Eyes,['Mary Burton'],ePUB,15.99,15.99,140591890X,2014-11-06,Penguin Books Ltd,307
The Girl on the Cliff,['Lucinda Riley'],ePUB,15.99,15.99,0141970618,2011-10-27,Penguin Books Ltd,576
Book not found for ISBN 9780307463654,,,,,,,,
Book not found for ISBN 9780141347707,,,,,,,,
Curly Girl,"['Lorraine Massey', 'Michele Bender', 'Deborah Chiel']",ePUB,25.25,20.23,0761164022,2011-01-13,Workman Publishing Company,
Animal Farm And 1984,['George Orwell'],ePUB,15.99,15.99,0547504187,2003-06-01,HarperCollins,
Leviathan Wakes,['James S. A. Corey'],ePUB,4.99,4.99,0748122966,2011-06-02,"Little, Brown Book Group",448
Did You Miss Me?,['Karen Rose'],ePUB,11.99,11.99,0755374010,2012-11-08,Headline,469
Where Do Diggers Sleep at Night?,"['Brianna Caplan Sayres', 'Christian Slade']",ePUB,11.99,10.99,0375980989,2012-05-22,Random House Children's Books,
Happiness by Design,['Paul Dolan'],ePUB,15.99,15.99,0241003113,2014-08-28,Penguin Books Ltd,208
The King's Curse,['Philippa Gregory'],ePUB,13.99,13.99,0857207601,2014-08-14,Simon & Schuster UK,608
Best Served Cold,['Joe Abercrombie'],ePUB,12.99,12.99,0575088168,2009-06-01,Orion,560
The Shock Doctrine,['Naomi Klein'],ePUB,18.99,18.99,0141980869,2014-10-02,Penguin Books Ltd,576
Journey to the Center of the Earth,['Jules Verne'],ePUB,1.45,1.45,048611161X,2012-02-02,Dover Publications,160
Journey to the River Sea - 10th Anniversary Edition,['Eva Ibbotson'],ePUB,10.5,7.9,0330477447,2008-09-04,,320
Crossed,['Ally Condie'],ePUB,12.99,12.99,0141969989,2011-11-24,Penguin Random House Children's UK,384
The 4 x 4 Diet,"['Erin Oprea', 'Carrie Underwood']",ePUB,18.85,15.99,1101903090,2016-02-02,Harmony/Rodale,
Stalin,['Simon Sebag Montefiore'],ePUB,13.99,13.99,0297863851,2010-06-03,Orion,820
Tribe,['Sebastian Junger'],Paperback,19.99,18.25,0008168180,2017-06-02,HarperCollins Publishers,192
The Skincare Bible,['Dr Anjali Mahto'],ePUB,18.99,18.99,0241309115,2018-04-05,Penguin Books Ltd,256
The Book of Basketball,"['Bill Simmons', 'Malcolm Gladwell']",ePUB,22.29,17.99,0345513118,2009-10-27,Random House Publishing Group,
Eagle in the Sky,['Wilbur Smith'],ePUB,13.95,10.5,0330466291,2008-09-04,,0
David and Goliath,['Malcolm Gladwell'],ePUB,15.99,15.99,0241959608,2013-10-03,Penguin Books Ltd,304
H.M.S. Cockerel,['Dewey Lambdin'],E-Book,0,0,1306064279,2009-01-01,McBooks Press,451
Innocent Graves,['Peter Robinson'],ePUB,12.35,8.95,0330514555,2009-08-21,,0
Consider Phlebas,['Iain M. Banks'],ePUB,12.99,12.99,0748109994,2008-09-04,"Little, Brown Book Group",480
Book not found for ISBN 9780307272300,,,,,,,,
Kill For Me,['Tom Wood'],ePUB,11.99,11.99,0751565717,2018-07-26,"Little, Brown Book Group",480
Sea of Greed,"['Clive Cussler', 'Graham Brown']",ePUB,15.99,15.99,1405937149,2018-11-06,Penguin Books Ltd,480
New Moon,['Stephenie Meyer'],ePUB,11.99,11.99,0748112529,2009-02-26,"Little, Brown Book Group",608
The Vanishing Act of Esme Lennox,"[""Maggie O'Farrell""]",ePUB,11.99,11.99,0755372263,2009-11-12,Headline,145
The Night Watch,['Sarah Waters'],Paperback,24.99,21.75,1844082415,2006-06-01,Little Brown,506
The Island,"['Ragnar Jónasson', 'Victoria Cribb']",ePUB,15.99,15.99,1405930837,2019-04-04,Penguin Books Ltd,350
The Stranger,['Albert Camus'],Paperback,24.99,21.75,0679720200,2014-12-15,RANDOM HOUSE US,144
Entwined with You,['Sylvia Day'],ePUB,15.99,15.99,1405910283,2013-06-04,Penguin Books Ltd,400
The Pursuit of Glory,['Tim Blanning'],ePUB,19.99,19.99,0141912758,2008-02-28,Penguin Books Ltd,736
Hacking Growth,"['Morgan Brown', 'Sean Ellis']",ePUB,19.99,19.99,0753545381,2017-04-27,Ebury Publishing,320
Sacred Woman,['Queen Afua'],ePUB,23.99,19.99,0307559513,2012-06-20,Random House Publishing Group,
Natural Born Heroes,['Christopher McDougall'],E-Book,0,0,0307962288,2015-01-01,Knopf Doubleday Publishing Group,
The Places In Between,['Rory Stewart'],ePUB,15.8,11.5,0330508342,2009-09-18,,0
Lifeless,['Mark Billingham'],ePUB,12.99,12.99,0748109447,2008-09-04,"Little, Brown Book Group",480
Daring Greatly,['Brené Brown'],ePUB,16.99,16.99,0670923532,2013-01-17,Penguin Books Ltd,304
The Day Before Happiness,"['Erri De Luca', 'Jill Foulston']",ePUB,15.99,15.99,0141394145,2016-07-07,Penguin Books Ltd,208
Open and Shut,['David Rosenfelt'],ePUB,13.99,13.99,0446551074,2008-11-15,Grand Central Publishing,300
Tuesday's Gone,['Nicci French'],ePUB,15.99,15.99,0141964014,2012-07-19,Penguin Books Ltd,464
A Spy Among Friends,['Ben Macintyre'],ePUB,18.39,15.99,1408851741,2014-03-03,Bloomsbury Publishing,368
The Lion At Sea,['Max Hennessy'],PDF,13.4,13.4,075514757X,2012-05-19,,368
The Defence of the Realm,['Christopher Andrew'],ePUB,19.99,19.99,0718197445,2012-04-26,Penguin Books Ltd,1072
Port Mortuary,['Patricia Cornwell'],ePUB,11.99,11.99,0748117091,2010-10-28,"Little, Brown Book Group",512
The Lonely Londoners,"['Sam Selvon', 'Nasta Susheila']",ePUB,15.99,15.99,0241189462,2014-09-25,Penguin Books Ltd,160
Dark Curse,['Kim Richardson'],ePUB,5.5,5.5,0463676769,2019-04-24,Kim Richardson,
The State We're In,['Adele Parks'],ePUB,12.99,12.99,0755371402,2013-07-04,Headline,354
This Is Not Propaganda,['Peter Pomerantsev'],ePUB,16.49,14.99,0571338658,2019-07-30,Faber & Faber,300
The Bookseller Of Kabul,['Åsne Seierstad'],ePUB,11.99,11.99,0748108521,2008-09-04,"Little, Brown Book Group",288
Towers of Midnight (US EDITION),"['Robert Jordan', 'Brandon Sanderson']",Hardcover,66.9,66.9,0765325942,2010-11-02,TOR BOOKS                     ,864
The Shroud Maker,['Kate Ellis'],ePUB,12.99,12.99,1405515090,2014-01-02,"Little, Brown Book Group",384
Michelle Obama,['Peter Slevin'],E-Book,0,0,0307958833,2015-01-01,Knopf Doubleday Publishing Group,391
